Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Arthur MoscattoM35-39,BR,#445,118,468,530,58:18:00,3:02:23,1:58:59,6:07:03,81.7
Roberto NishikawaM55-59,BR,#960,15,448,508,51:00:00,3:08:12,1:55:00,6:02:22,87.6
Moacir FariaM40-44,BR,#633,110,495,562,51:19:00,3:01:06,2:09:33,6:12:08,80.3
Alexandre Gallardo SiqueiraM35-39,BR,#353,144,580,669,1:06:11,3:16:12,1:57:19,6:30:56,78.4
Walmir Ruthes JuniorM45-49,BR,#701,20,249,269,48:40:00,2:50:28,1:45:13,5:29:37,88
Cristian Eduardo Contreras OlivaresM25-29,CL,#876,49,578,667,48:05:00,3:15:36,2:15:33,6:30:44,77.7
Santiago PazM18-24",AR,#798,2,40,42,33:29:00,2:33:03,1:32:17,4:43:31,99.1
Carlos Arturo Herrera MedinaM45-49,CO,#732,28,304,336,50:19:00,2:54:24,1:45:02,5:39:44,86.4
Mariana FiuzaF25-29,BR,#1019,16,113,743,56:51:00,3:12:00,2:30:09,6:50:17,83.3
Sergio KawasakiM45-49,BR,#657,55,483,548,54:19:00,3:00:27,2:04:52,6:10:30,81.7
Romina PalacioFPRO",AR,#21,3,3,44,32:08:00,2:38:34,1:28:45,4:43:40,96.6
Rodolfo BoedoM55-59,AR,#980,27,682,816,1:00:14,3:39:08,2:44:40,7:33:48,75.9
Jatyr Da Silva Gomes NetoM30-34,BR,#185,65,303,335,51:27:00,2:46:55,1:52:29,5:39:42,85.8
Ricardo Francisco CasadoM30-34,BR,#1225,50,223,241,42:11:00,2:49:01,1:43:06,5:24:22,88.3
Mario Gomes Da Silva JuniorM40-44,BR,#597,98,453,514,39:31:00,2:47:30,2:26:07,6:03:38,81.5
Felipe Silva AlvarezM40-44,BR,#517,5,28,30,36:59:00,2:24:22,1:29:24,4:36:09,97
Rodrigo Baccili DamiãoM25-29,BR,#825,22,229,248,47:34:00,2:50:29,1:41:22,5:25:37,87.6
Javier MarquezM50-54",BR,#936,3,97,103,34:23:00,2:41:37,1:39:27,5:01:22,98
Roberto FormosoM40-44,UY,#592,108,488,554,1:01:02,2:55:19,1:59:46,6:11:20,80.4
Jonas Emanuel FerreiraM40-44,BR,#1205,87,396,444,1:05:35,2:58:37,1:42:07,5:53:58,83
Paulo GontijoM35-39,BR,#332,86,327,362,49:38:00,2:52:07,1:50:51,5:43:17,85.4
Fabio MeloM30-34,BR,#111,84,441,500,1:00:08,3:01:56,1:53:03,6:01:52,82.3
Tadeu MoraesM35-39,BR,#302,120,478,542,47:41:00,3:01:09,2:12:10,6:09:10,81.4
Wallace AraujoM35-39,BR,#349,128,509,579,59:53:00,3:09:02,1:58:46,6:15:40,80.5
Verônica LinoF40-44,BR,#1126,18,125,780,54:01:00,3:19:29,2:37:36,7:04:15,85.1
Patricia PrimF45-49",BR,#1157,2,22,285,42:46:00,2:55:41,1:48:18,5:32:43,98.4
Davi Couto FrotaM35-39,BR,#408,110,440,499,58:39:00,2:56:24,1:53:32,6:01:22,82.6
Caio SouzaM30-34,BR,#191,109,686,821,--:--,--:--,--:--,7:40:00,
Jovelino Pinheiro CostaM40-44,BR,#468,112,505,575,48:01:00,3:17:40,1:56:49,6:14:34,79.9
Kyrale SmythM30-34,BR,#173,100,591,685,50:23:00,3:14:22,2:17:49,6:34:45,77.7
Rodrigo MenezesM35-39,BR,#298,157,631,744,46:57:00,3:23:46,2:27:53,6:50:27,75.8
José Ricardo Ruela RodriguesM40-44,BR,#537,15,72,77,39:13:00,2:34:10,1:34:08,4:53:11,93.6
Willians IsaacM45-49,BR,#656,59,494,561,41:54:00,3:00:07,2:20:57,6:12:04,81.5
Christian TaguchiM30-34,BR,#174,41,189,201,42:59:00,2:39:55,1:47:56,5:19:02,89.2
Beatriz Camargo PaixãoF30-34,BR,#1051,8,59,486,54:56:00,2:55:59,2:01:35,5:59:56,91.2
Anderson BuenoM40-44,BR,#536,88,400,450,46:32:00,3:07:12,1:53:21,5:55:51,82.7
Pedro CoelhoM40-44,BR,#648,106,477,541,46:52:00,3:15:12,1:58:32,6:09:01,80.7
Walter FeitalM45-49,BR,#653,43,383,430,39:57:00,2:53:07,2:10:21,5:52:26,84.4
Simone De Souza Batista ScherpenhuijzenF40-44,BR,#1142,15,94,683,49:45:00,3:23:15,2:10:55,6:34:36,89
Jose BezerraM55-59,BR,#958,22,639,756,1:10:56,3:21:25,2:12:03,6:52:20,80.8
Joao Paulo Morisson FernandezM30-34,BR,#141,110,690,826,56:23:00,3:37:57,2:48:11,7:45:54,69.3
Rafael SampaioM30-34,BR,#221,46,212,227,40:59:00,2:49:18,1:41:21,5:22:38,88.6
