Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Felipe ManenteMPRO,BR,#3,9,12,12,27:12:00,2:14:40,1:23:35,4:09:12,94.5
Antonio Mellero Barros FilhoM60-64,BR,#1700,9,1090,1314,51:37:00,3:12:04,2:19:53,6:35:16,85.4
Elaine FlorianoF45-49,BR,#1383,9,57,697,29:42:00,2:38:52,2:08:53,5:22:26,95.7
Claudio Tadashi SatoM40-44,BR,#281,9,49,51,30:40:00,2:22:59,1:26:18,4:24:53,97.5
Priscila ArttuzoF35-39,BR,#1261,9,46,596,33:22:00,2:44:48,1:51:44,5:15:54,95.8
Hugo Omar TruncellitoM55-59,AR,#1671,9,488,523,31:52:00,2:44:12,1:48:41,5:11:47,90.5
Simone CruzF50-54,BR,#1376,9,233,1340,47:32:00,3:29:40,2:18:09,6:45:02,89.1
Ludovic YONNETM35-39,FR,#552,9,31,32,30:10:00,2:19:47,1:24:40,4:19:56,98.8
Daniel PeriusM45-49,BR,#434,9,156,161,29:24:00,2:27:05,1:44:01,4:45:30,96.1
Knut Arne KarlsenM50-54,BR,#1624,9,328,340,35:08:00,--:--,--:--,4:59:09,93.4
Luan Ortiz Da SilvaM30-34,BR,#1053,9,42,44,27:05:00,2:24:57,1:27:28,4:23:45,98.5
Viviane PessagnoF25-29,BR,#1174,9,66,762,34:55:00,2:50:07,1:54:03,5:26:22,94
Nicolas JusteM18-24,BR,#1455,9,429,455,34:01:00,2:34:21,1:52:52,5:07:27,92.4
Luiz CassemiroM60-64,BR,#1694,10,1112,1346,41:43:00,3:09:09,2:38:40,6:47:12,83.8
Marcus FernandesMPRO,BR,#13,10,13,13,23:52,2:26:29,1:15:34,4:09:15,94.5
Mateus VidigalM40-44,BR,#564,10,50,52,25:46:00,2:22:34,1:31:48,4:25:12,97.4
Bruna NicheleF30-34,BR,#1222,10,34,521,32:05:00,2:52:02,1:41:48,5:11:43,95
Igor Nicolau PintoM30-34,BR,#1035,10,55,57,31:49:00,2:22:38,1:27:17,4:26:02,98
Isis VasconcelosF25-29,BR,#1187,10,68,772,35:10:00,2:54:23,1:50:53,5:27:26,93.8
Jorge Henrique ArbexM45-49,BR,#356,10,160,166,30:12:00,2:27:43,1:42:19,4:46:11,96
Wilson Goerdt RosaM50-54,BR,#1634,10,335,347,39:51:00,2:30:28,1:42:24,4:59:25,93.3
Vinicius ColomboM18-24,BR,#1457,10,444,470,33:56:00,2:40:28,1:47:14,5:08:36,92.2
João Marcelo ThomaziM35-39,BR,#849,10,34,36,31:00:00,2:21:52,1:22:41,4:21:25,98.5
Silvia Mion MitsuhashiF40-44,BR,#1369,10,75,805,37:17:00,2:47:21,1:58:55,5:30:01,90.5
Maria Augusta Miranda Dos SantosF50-54,BR,#1413,10,236,1349,44:48:00,3:34:02,2:19:45,6:49:10,88.6
Fabio Sampaio Garcez RibeiroM25-29,BR,#1433,10,64,66,31:19:00,2:23:58,1:27:28,4:27:56,96.7
Cynthia Beatriz Tostes FerreiraF35-39,BR,#1308,10,47,605,36:22:00,2:49:18,1:41:15,5:16:18,95.7
Adão FranciscoM55-59,BR,#1689,10,517,558,37:14:00,2:40:41,1:45:47,5:14:09,90.1
Rebeca Falconi Catta PretaF30-34,BR,#1195,10,34,521,30:13:00,2:46:53,1:49:30,5:11:43,95
Christiane BotelhoF45-49,BR,#1399,10,60,715,37:57:00,2:55:32,1:41:01,5:23:29,95.6
Gabriela VazF25-29,BR,#1158,11,69,781,33:20:00,3:00:37,1:48:17,5:28:11,93.6
Natasha KoesterF35-39,BR,#1324,11,52,659,33:35:00,2:51:55,1:46:44,5:19:40,95.1
Caroline SchmidtF40-44,BR,#1338,11,81,817,42:13:00,2:52:03,1:47:32,5:30:49,90.4
Robnilson RibeiroM35-39,BR,#1713,11,48,50,35:22:00,2:24:37,1:20:04,4:24:46,97.8
Cristiane Janke De Castro MotterF45-49,BR,#1405,11,65,761,31:56:00,2:48:02,1:58:51,5:26:21,95.1
Gabriel Giovaney Cardoso CarvalhoM30-34,BR,#968,11,68,70,28:34:00,2:22:35,1:31:44,4:28:23,97.5
Graciela Estela GimenezF50-54,AR,#1412,11,237,1350,42:17:00,3:27:23,2:28:29,6:49:56,88.5
Osni SilvaM60-64,BR,#1698,11,1142,1388,48:16:00,3:47:55,2:35:21,7:26:45,79.2
Henrique Praxedes PinedaM40-44,BR,#257,11,53,55,29:50:00,2:18:57,1:32:03,4:25:55,97.3
Guilherme GrisiM25-29,BR,#1575,11,66,68,28:39:00,2:30:57,1:23:33,4:28:12,96.6
