Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Eliana Galindo GutierrezF30-34,CO,#649,70,252,1432,1:00:19,3:09:19,2:23:45,6:47:04,84
Victoria DuqueF30-34,CO,#644,102,351,1698,50:01:00,3:48:30,2:32:50,7:28:39,78.7
Ana SandíF30-34,CR,#702,82,290,1563,48:20:00,3:24:28,2:40:07,7:04:07,81.8
Carolina Isaza VelasquezF30-34,CO,#664,25,86,744,43:54:00,2:57:40,2:01:10,5:53:25,92
Claudia Milena Vargas SalinasF30-34,CO,#712,36,131,974,42:23:00,3:05:19,2:15:18,6:08:34,89.6
Karen Sanmiguel FlorezF30-34,CO,#703,22,71,688,42:47:00,2:56:24,2:03:37,5:49:59,92.6
Daniela BorjaF30-34,CO,#460,14,51,540,48:20:00,2:41:27,2:01:54,5:39:31,94.3
Alejandra VanegasF30-34,CO,#711,80,286,1545,53:02:00,3:26:39,2:26:40,7:01:49,82.1
Carolina Bahoz SoteloF30-34,CO,#178,19,67,682,43:51:00,2:50:41,2:09:47,5:49:37,92.6
Luisa Fernanda Muñoz QuevedoF30-34,CO,#685,110,391,1781,53:23:00,3:52:04,3:06:19,8:07:11,74.4
Cristina ObregónF30-34,CO,#2042,31,105,840,45:01:00,3:14:22,1:52:18,6:00:19,90.9
Diana Carolina UsecheF30-34,CO,#710,50,196,1242,51:56:00,3:11:33,2:15:38,6:29:29,86.5
Daniela MarquezF30-34,CO,#2086,10,42,432,38:06:00,2:48:46,1:58:04,5:33:08,95.4
Adriana TrujilloF30-34,CO,#496,97,331,1649,50:24:00,4:00:38,2:16:28,7:19:25,79.9
Kerri GregoryF30-34,GB,#668,29,98,800,43:46:00,2:51:13,2:12:47,5:57:17,91.4
Yury MonsalveF30-34,CO,#679,64,231,1359,47:00:00,3:14:15,2:25:45,6:40:19,85
Melissa Ortiz VelezF30-34,CO,#687,73,264,1478,59:14:00,3:18:24,2:26:16,6:52:29,83.3
Maria VelezF30-34,CO,#714,48,183,1193,51:11:00,3:10:56,2:13:29,6:26:03,87
Margy Carolina RiosF30-34,CO,#697,47,181,1190,54:04:00,3:09:40,2:14:17,6:25:56,87
ana maria Guzman OrtizF30-34,CO,#662,12,47,504,41:08:00,2:58:06,1:52:33,5:37:47,94.6
Milena De La Portilla MeloF30-34,CO,#641,86,303,1587,1:06:47,3:27:23,2:19:43,7:07:00,81.4
Clara PrietoF30-34,CO,#693,32,111,873,42:37:00,3:03:12,2:05:57,6:02:16,90.6
Samanda Betsabé Castaño HerreraF30-34,CO,#632,52,202,1276,51:40:00,3:12:55,2:17:43,6:32:23,86.1
Diana Carolina Gomez HernandezF30-34,CO,#657,27,89,756,47:22:00,2:59:54,2:00:29,5:54:13,91.9
Veronica DuqueF30-34,CO,#645,106,361,1716,59:26:00,3:40:25,2:40:25,7:33:37,78.2
Diana Carolina Morales RodriguezF30-34,CO,#382,74,270,1490,50:49:00,3:18:30,2:36:25,6:54:21,83.1
Stefanie Gil AristizabalF30-34,CO,#656,103,354,1702,51:28:00,3:28:46,3:00:25,7:30:15,78.6
Juliana ParraF30-34,CO,#690,38,136,998,45:07:00,3:02:59,2:13:17,6:09:56,89.4
Juliana ContrerasF30-34,CO,#639,7,28,321,40:32:00,2:41:29,1:54:12,5:23:14,97.2
lorena foreroF30-34,CO,#648,85,302,1583,54:45:00,3:15:29,2:45:33,7:06:26,81.5
Carolina VillegasF30-34,CO,#717,104,357,1707,47:06:00,3:43:54,2:41:59,7:30:50,78.5
Natalia Arbelaez SernaF30-34",CO,#433,1,11,123,38:10:00,2:39:47,1:38:08,5:01:11,101.4
Paola MontoyaF30-34,CO,#681,93,320,1626,54:10:00,3:44:42,2:25:21,7:15:04,80.4
Patricia RodriguezF35-39,CO,#2043,27,117,907,48:35:00,2:46:07,2:20:10,6:04:15,84.3
María De Fátima Cacace AlvarengaF35-39,PY,#734,45,224,1343,50:20:00,3:17:47,2:19:14,6:38:34,79.5
Carolina RuizF35-39,CO,#266,12,65,677,36:37:00,2:44:25,2:21:02,5:49:07,86.6
Paola EnamoradoF35-39,CO,#356,43,213,1306,52:15:00,3:23:12,2:11:08,6:35:04,79.9
Pieternel AlbersenF35-39,CW,#722,10,60,640,40:12:00,2:55:43,2:02:16,5:46:44,87
Adriana Marcela Losada RojasF35-39,CO,#763,50,253,1434,59:33:00,3:11:37,2:25:09,6:47:08,78.3
Laura Larramendi FernandezF35-39,ES,#758,5,35,383,41:57:00,2:49:51,1:51:59,5:29:42,89.8
Angelica AvendañoF35-39,CO,#726,36,173,1165,1:03:24,3:10:45,2:03:04,6:23:09,81.6
Carolina MejiaF35-39,CO,#766,75,367,1728,47:38:00,3:26:30,3:12:27,7:37:25,72.3
