Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Diego GhersiM35-39,AR,#153,25,100,110,31:55:00,2:25:49,1:37:02,4:39:15,94.6
Jonathan OrtizM25-29,CL,#530,47,822,988,43:04:00,3:02:50,2:30:56,6:34:06,76.3
Thiago SobutkaM40-44,BR,#816,202,886,1069,38:36:00,3:25:04,2:48:37,7:05:08,72.6
Federico SchweizerM35-39,AR,#244,31,127,138,33:47:00,2:25:32,1:40:53,4:44:18,93.6
Matias Ernesto MauriM30-34,AR,#168,39,246,265,39:02:00,2:32:00,1:46:04,5:00:59,91.6
Horacio AriasM55-59,AR,#1100,15,416,474,40:05:00,2:47:26,1:49:20,5:21:36,90.5
Alejandro Rodriguez RavioloM50-54,AR,#1045,90,846,1023,55:10:00,3:17:32,2:20:44,6:43:50,78.3
Ernesto DavilaM25-29,EC,#1284,31,440,503,48:43:00,2:44:50,1:46:57,5:24:59,86.3
Tiago Canto PortoM25-29,BR,#514,42,645,745,41:33:00,3:01:41,2:01:08,5:51:58,82.1
Jorge Luis GuaquinchayM35-39,AR,#1164,52,229,248,35:13:00,2:38:52,1:41:24,4:59:36,90.7
Sergio TomiettoM35-39,AR,#733,129,580,665,43:20:00,2:49:46,2:04:33,5:43:58,83.1
Javier VergaraM35-39,CL,#149,35,146,158,34:26:00,2:29:40,1:38:29,4:47:30,93
Alberto GilM60-64",AR,#1311,1,484,555,45:23:00,2:41:33,1:58:22,5:30:24,99.5
Sergio MedinaM35-39,AR,#753,118,513,589,40:33:00,2:48:29,1:56:01,5:34:51,84.5
Pablo SaizM40-44,AR,#183,12,61,66,28:49:00,2:29:02,1:29:46,4:31:39,97
Jonatan ColomboM35-39,AR,#283,86,356,397,35:07:00,2:46:59,1:47:19,5:16:01,87.7
Eric StotzM25-29,AR,#533,21,226,244,34:44:00,2:35:59,1:43:52,4:59:06,90.9
Luisa MiguensF45-49",AR,#140,1,20,267,38:19:00,2:38:27,1:40:32,5:01:57,99.4
